"Rank","Name","Domestic_Box_Office","Movies","Average"
268,"Kevin Reynolds",365721904,8,45715238
269,"Sidney Lumet",359106140,32,11222067
270,"Brad Silberling",354567491,8,44320936
271,"Amy Heckerling",352386399,9,39154044
272,"Hal Needham",350973707,10,35097371
273,"D.J. Caruso",350246473,16,21890405
274,"Jim Abrahams",347048155,8,43381019
275,"Peter Hyams",344647049,17,20273356
276,"Neil Burger",343567910,6,57261318
277,"Don Hall",343032708,4,85758177
278,"Seth MacFarlane",342863090,3,114287697
279,"Roger Spottiswoode",342820522,14,24487180
280,"David Slade",340100747,3,113366916
281,"Michael Ritchie",339966005,20,16998300
282,"Brenda Chapman",338879847,4,84719962
283,"Adam Wingard",337506420,12,28125535
284,"Chris Williams",336581407,3,112193802
285,"Paul King",335770242,5,67154048
286,"Luc Besson",333493312,21,15880634
287,"Wilfred Jackson",3.31e+08,8,41375000
288,"James Foley",330873946,13,25451842
289,"Brian Robbins",329342564,10,32934256
290,"Tom Hooper",326788242,6,54464707
291,"Walt Becker",324897890,5,64979578
292,"Ben Stiller",323093239,8,40386655
293,"Lee Tamahori",322957356,11,29359760
294,"Tate Taylor",322064332,8,40258042
295,"John Hughes",321958435,8,40244804
296,"Jennifer Yuh Nelson",321473373,3,107157791
297,"Alex Proyas",321005872,6,53500979
298,"Mark Dindal",320562387,4,80140597
299,"Chris Wedge",317276253,3,105758751
300,"Jonathan Mostow",316181242,8,39522655
301,"Ben Affleck",311350644,7,44478663
302,"Bruce Beresford",310904814,29,10720856
303,"Nick Cassavetes",308613647,12,25717804
304,"Len Wiseman",307696937,5,61539387
305,"Wes Anderson",307659819,16,19228739
306,"Alan Taylor",305022402,4,76255601
307,"Catherine Hardwicke",303596928,14,21685495
308,"Alexander Payne",301729948,10,30172995
309,"Stanley Kubrick",301438681,12,25119890
310,"Joseph Ruben",297691389,10,29769139
311,"Barry Jenkins",297449948,6,49574991
312,"Lawrence Kasdan",296871637,11,26988331
313,"Howard Deutch",295668577,10,29566858
314,"Emile Ardolino",295286811,6,49214469
315,"George Cukor",294717470,17,17336322
316,"Joel Zwick",294552764,4,73638191
317,"Gus Van Sant",294193117,18,16344062
318,"Michael Lembeck",293722463,10,29372246
319,"Peter Ramsey",293585953,2,146792977
320,"Peter Sohn",292604216,3,97534739
321,"Steve Miner",292198368,14,20871312
322,"Harald Zwart",291225077,6,48537513
323,"Neil Jordan",290528723,20,14526436
324,"Carl Reiner",290434026,11,26403093
325,"Kevin Costner",289226502,7,41318072
326,"Les Mayfield",289185737,9,32131749
327,"David Hand",287722486,4,71930622
328,"Alejandro Gonzalez Inarritu",287015101,8,35876888
329,"Darren Aronofsky",286647053,11,26058823
330,"Joachim Ronnin",286488481,2,143244241
331,"Randall Wallace",286173975,4,71543494
332,"Neill Blomkamp",284765508,6,47460918
333,"Robert Altman",284695443,24,11862310
334,"John Carpenter",283195598,20,14159780
335,"Warren Beatty",282719616,5,56543923
336,"Destin Daniel Cretton",278830953,6,46471826
337,"James Bobin",277325139,5,55465028
338,"John Pasquin",276713253,4,69178313
339,"Joe Wright",276094103,11,25099464
340,"Elizabeth Banks",275608229,7,39372604
341,"Gavin Hood",274970361,7,39281480
342,"George P. Cosmatos",274561291,8,34320161
343,"Steven Caple Jr",273101394,4,68275349
344,"Scott Mosier",272961295,1,272961295
345,"Yarrow Cheney",272961295,1,272961295
346,"Ken Kwapis",272899305,10,27289931
347,"Robert Redford",272103854,9,30233762
348,"Hugh Wilson",271622020,8,33952753
349,"Stephen Frears",271312017,22,12332364
350,"Stephen Hopkins",270843042,11,24622095
351,"Lee Isaac Chung",270727081,5,54145416
352,"John Glen",269648646,7,38521235
353,"Mark Steven Johnson",269280162,10,26928016
354,"Dan Scanlon",268488329,1,268488329
355,"Eli Roth",268283913,12,22356993
356,"Penelope Spheeris",266127648,12,22177304
357,"Fede Álvarez",263599377,5,52719875
358,"Larry Charles",263208226,8,32901028
359,"Anthony Minghella",262952234,7,37564605
360,"Tyler Gillett",260741112,10,26074111
361,"Matt Bettinelli-Olpin",260741112,10,26074111
362,"John Stevenson",258970417,3,86323472
363,"John Madden",257449437,13,19803803
364,"Howard Zieff",257338596,7,36762657
365,"George Clooney",256293512,9,28477057
366,"David Lean",256200507,11,23290955
367,"Harold Becker",256167718,9,28463080
368,"David Bowers",255610016,7,36515717
369,"Ron Shelton",254838404,9,28315378
370,"Karey Kirkpatrick",254481835,3,84827278
371,"Darren Lynn Bousman",253959118,14,18139937
372,"Frank Marshall",252321753,9,28035750
373,"Greg Tiernan",252024244,5,50404849
374,"Baltasar Kormakur",250154148,11,22741286
375,"Charles Shyer",249637137,8,31204642
376,"Dean Parisot",249189925,5,49837985
377,"Gabriele Muccino",248913960,11,22628542
378,"Miloš Forman",248460563,9,27606729
379,"Bob Clark",248283019,15,16552201
380,"Josh Gordon",248008948,6,41334825
381,"Will Speck",248008948,6,41334825
382,"Michael Patrick King",247994950,3,82664983
383,"Joel Crawford",244659350,4,61164838
384,"Henry Selick",244534622,5,48906924
385,"Steven Brill",243882963,9,27098107
386,"Ron Underwood",243012300,9,27001367
387,"Gil Kenan",242335732,5,48467146
388,"Brian Helgeland",242163041,6,40360507
389,"Steve Oedekerk",241652658,4,60413165
390,"Robert Stromberg",241407328,1,241407328
391,"Don Bluth",240620210,10,24062021
392,"Mimi Leder",239941563,7,34277366
393,"Victor Fleming",239615476,5,47923095
394,"Mark Andrews",237439597,2,118719799
395,"Alan Parker",236423327,14,16887381
396,"Phil Alden Robinson",235435555,5,47087111
397,"P.J. Hogan",234711022,6,39118504
398,"Jon Avnet",233490628,9,25943403
399,"Ethan Coen",231906428,10,23190643
400,"Daniel Espinosa",231694382,7,33099197
401,"Wayne Wang",231584934,18,12865830
402,"David R. Ellis",230985374,6,38497562
403,"Roger Michell",229062022,12,19088502
404,"Robert Benton",228812101,9,25423567
405,"Steve Hickner",228044465,2,114022233
406,"Kathryn Bigelow",227008217,9,25223135
407,"Damien Chazelle",226561183,5,45312237
408,"Richard Benjamin",226390191,12,18865849
409,"Craig Gillespie",225810735,9,25090082
410,"George Tillman, Jr",225477980,8,28184748
411,"Simon Wincer",225295869,13,17330451
412,"Tarsem Singh",224590631,6,37431772
413,"Alfred Hitchcock",223727244,43,5202959
414,"Tom Laughlin",223040907,4,55760227
415,"Boaz Yakin",221880671,10,22188067
416,"Pierre Morel",221676240,9,24630693
417,"Jonathan Goldstein",221612904,4,55403226
418,"John Francis Daley",221612904,4,55403226
419,"Jimmy Hayward",220827036,3,73609012
420,"John Huston",220652401,21,10507257
421,"Jonathan Levine",220600954,8,27575119
422,"John Hamburg",220431513,5,44086303
423,"Simon Wells",220293755,7,31470536
424,"Frank Darabont",218504224,5,43700845
425,"Jon Amiel",217807463,9,24200829
426,"Jon Lucas",217596495,5,43519299
427,"Scott Moore",217596495,5,43519299
428,"Tom Dey",217241050,5,43448210
429,"Mark Osborne",217038759,3,72346253
430,"Sam Wood",216480470,6,36080078
431,"Rupert Wyatt",216399492,5,43279898
432,"Kevin Smith",215786749,19,11357197
433,"Edgar Wright",215772289,9,23974699
434,"Jonathan Lynn",215478157,9,23942017
435,"Terry Gilliam",215476102,13,16575085
436,"Bradley Cooper",215288866,3,71762955
437,"James DeMonaco",215078105,6,35846351
438,"Albert Hughes",214424191,7,30632027
439,"Andy Serkis",214039688,5,42807938
440,"Theodore Melfi",213744999,4,53436250
441,"John Guillermin",213255630,10,21325563
442,"Richard Linklater",213094404,24,8878934
443,"Alex Kendrick",212068988,7,30295570
444,"Alejandro Monteverde",211783554,4,52945889
445,"Danny DeVito",211552402,6,35258734
446,"Mick Jackson",210093066,7,30013295
447,"Michael Caton-Jones",209838308,12,17486526
448,"Peter Yates",209721540,17,12336561
449,"Jake Schreier",209325500,4,52331375
450,"Dominic Sena",208914074,5,41782815
451,"Thor Freudenthal",208284244,4,52071061
452,"Michael Chaves",206635379,4,51658845
453,"Peter Chelsom",206622952,13,15894073
454,"Jonathan Frakes",205969102,6,34328184
455,"Joe Roth",205602821,6,34267137
456,"Rupert Sanders",204975971,5,40995194
457,"Jon Erwin",203706533,9,22634059
458,"Tony Gilroy",202810577,3,67603526
459,"Julius Onah",202510614,5,40502123
460,"Timur Bekmambetov",202144190,12,16845349
461,"Eric Brevig",201950381,2,100975191
462,"Gary Fleder",201562246,9,22395805
463,"Lawrence Guterman",201151436,3,67050479
464,"Phil Johnston",201091711,2,100545856
465,"Sam Weisman",200883197,5,40176639
466,"Nathan Greno",200821936,1,200821936
467,"Ben Falcone",200662903,5,40132581
468,"Allen Hughes",199862063,9,22206896
469,"Ariel Schulman",199750111,7,28535730
470,"Henry Joost",199750111,7,28535730
471,"Michael Moore",197525648,11,17956877
472,"Richard Attenborough",197398047,10,19739805
473,"Gary Winick",196332270,6,32722045
474,"Justin Baldoni",194247487,3,64749162
475,"Luke Greenfield",194030916,5,38806183
476,"Gavin O’Connor",193633938,8,24204242
477,"Stephanie Ma Stine",193590620,1,193590620
478,"Chris McKay",193048279,5,38609656
479,"Greg Mottola",192459720,8,24057465
480,"Morten Tyldum",192339852,3,64113284
481,"John Frankenheimer",191623883,21,9124947
482,"Jason Friedberg",191564775,10,19156478
483,"Cal Brunker",190854179,5,38170836
484,"John Schlesinger",190793498,15,12719567
485,"Bob Persichetti",190173195,2,95086598
486,"Rodney Rothman",190173195,1,190173195
487,"Dean Fleischer-Camp",189333703,2,94666852
488,"Ol Parker",188910920,4,47227730
489,"Charles Martin Smith",188498722,8,23562340
490,"Guy Hamilton",188453189,10,18845319
491,"John Moore",187903503,6,31317251
492,"Kirk De Micco",187168425,1,187168425
493,"Jean-Jacques Annaud",186365316,11,16942301
494,"Cate Shortland",184742854,4,46185714
495,"Joe Carnahan",184065481,13,14158883
496,"Paul Mazursky",183464162,10,18346416
497,"Sam Wrench",182896092,7,26128013
498,"Kirk Jones",182123214,5,36424643
499,"Andrzej Bartkowiak",179344264,7,25620609
