"X","title","release_date","title_clean","title_clean_match"
16,"Bob Marley: One Love","2024-02-14","bob marley one love","bob marley one love"
17,"Madame Web","2024-02-14","madame web","madame web"
18,"Holdovers, The","2024-02-14","the holdovers","the holdovers"
19,"Iron Claw, The","2024-02-22","the iron claw","the iron claw"
20,"Dune: Part Two","2024-02-29","dune part two","dune part two"
21,"Imaginary","2024-03-07","imaginary","imaginary"
22,"Priscilla","2024-03-07","priscilla","priscilla"
23,"No Way Up","2024-03-07","no way up","no way up"
24,"Kung Fu Panda 4","2024-03-14","kung fu panda 4","kung fu panda 4"
25,"Ghostbusters: Frozen Empire","2024-03-21","ghostbusters frozen empire","ghostbusters frozen empire"
26,"Arthur the King","2024-03-21","arthur the king","arthur the king"
27,"Bricklayer, The","2024-03-21","the bricklayer","the bricklayer"
28,"Piper, The (dir. Thoroddsen)","2024-03-21","piper the dir thoroddsen","piper the dir thoroddsen"
29,"Godzilla x Kong: The New Empire","2024-03-28","godzilla x kong the new empire","godzilla x kong the new empire"
30,"Immaculate","2024-03-28","immaculate","immaculate"
31,"Ordinary Angels","2024-03-28","ordinary angels","ordinary angels"
32,"First Omen, The","2024-04-04","the first omen","the first omen"
33,"Monkey Man","2024-04-04","monkey man","monkey man"
34,"Miller's Girl","2024-04-04","millers girl","millers girl"
35,"Sleeping Dogs","2024-04-11","sleeping dogs","sleeping dogs"
36,"Civil War","2024-04-18","civil war","civil war"
37,"Cabrini","2024-04-18","cabrini","cabrini"
38,"Inventor, The","2024-04-18","the inventor","the inventor"
39,"Sympathy for the Devil","2024-04-18","sympathy for the devil","sympathy for the devil"
40,"Challengers","2024-04-25","challengers","challengers"
41,"Fall Guy, The","2024-05-01","the fall guy","the fall guy"
42,"Tarot","2024-05-01","tarot","tarot"
43,"Mothers' Instinct","2024-05-01","mothers instinct","mothers instinct"
44,"Soft & Quiet","2024-05-01","soft and quiet","soft and quiet"
45,"Kingdom of the Planet of the Apes","2024-05-09","kingdom of the planet of the apes","kingdom of the planet of the apes"
46,"Abigail","2024-05-09","abigail","abigail"
47,"IF (2024)","2024-05-16","if","if"
48,"Strangers: Chapter 1, The","2024-05-16","the strangers chapter 1","the strangers chapter 1"
49,"Arcadian","2024-05-16","arcadian","arcadian"
50,"Girl in the Backseat, The","2024-05-16","the girl in the backseat","the girl in the backseat"
51,"Garfield Movie, The","2024-05-23","the garfield movie","the garfield movie"
52,"Furiosa: A Mad Max Saga","2024-05-23","furiosa a mad max saga","furiosa a mad max saga"
53,"Haunting of the Queen Mary","2024-05-23","queen mary","queen mary"
54,"Hit Man","2024-05-30","hit man","hit man"
55,"Origin","2024-05-30","origin","origin"
56,"Bad Boys: Ride or Die","2024-06-06","bad boys ride or die","bad boys ride or die"
57,"Watchers, The","2024-06-06","the watchers","the watchers"
58,"Exorcism, The","2024-06-13","the exorcism","the exorcism"
59,"Dream Scenario","2024-06-13","dream scenario","dream scenario"
60,"Bikeriders, The","2024-06-20","the bikeriders","the bikeriders"
61,"GHOST: RITE HERE RITE NOW","2024-06-20","ghost rite here rite now","ghost rite here rite now"
62,"Despicable Me 4","2024-06-27","despicable me 4","despicable me 4"
63,"Quiet Place: Day One, A","2024-06-27","a quiet place day one","a quiet place day one"
64,"Sweet East, The","2024-06-27","the sweet east","the sweet east"
65,"Horizon: An American Saga Chapter 1","2024-07-04","horizon an american saga chapter 1","horizon an american saga chapter 1"
66,"Inside Out 2","2024-07-11","inside out 2","inside out 2"
67,"Fly Me to the Moon","2024-07-11","fly me to the moon","fly me to the moon"
68,"Freud's Last Session","2024-07-11","freuds last session","freuds last session"
69,"Adventures Of Buckaroo Banzai Across The 8th Dimension, The","2024-07-12","the adventures of buckaroo banzai across the 8th dimension","the adventures of buckaroo banzai across the 8th dimension"
70,"Twisters","2024-07-18","twisters","twisters"
71,"Chief of Station","2024-07-18","chief of station","chief of station"
72,"Memory","2024-07-18","memory","memory"
73,"Deadpool & Wolverine","2024-07-25","deadpool and wolverine","deadpool and wolverine"
74,"Longlegs","2024-07-25","longlegs","longlegs"
75,"Trap","2024-08-01","trap","trap"
76,"Knox Goes Away","2024-08-01","knox goes away","knox goes away"
77,"It Ends with Us","2024-08-08","it ends with us","it ends with us"
78,"Borderlands","2024-08-08","borderlands","borderlands"
79,"Alien: Romulus","2024-08-15","alien romulus","alien romulus"
80,"Harold and the Purple Crayon","2024-08-15","harold and the purple crayon","harold and the purple crayon"
81,"Coraline 15th Anniversary","2024-08-15","coraline 15th anniversary","coraline 15th anniversary"
82,"Gracie & Pedro: Pets to the Rescue!","2024-08-15","gracie and pedro pets to the rescue","gracie and pedro pets to the rescue"
83,"Blink Twice","2024-08-22","blink twice","blink twice"
84,"Crow, The","2024-08-22","the crow","the crow"
85,"In the Land of Saints and Sinners","2024-08-22","in the land of saints and sinners","in the land of saints and sinners"
