"Rank","Name","Worldwide_Box_Office","Movies","Average"
314,"Ed Helms",1820327638,19,95806718
315,"Ian McShane",1819764902,7,259966415
316,"Michael Cera",1818324929,15,121221662
317,"Maggie Smith",1816411140,20,90820557
318,"Kate Beckinsale",1814678876,26,69795341
319,"Selena Gomez",1811819329,13,139370718
320,"Anya Taylor-Joy",1807357609,13,139027508
321,"Zhang Yi",1805537331,8,225692166
322,"James Spader",1804189819,11,164017256
323,"Halle Berry",1801246925,22,81874860
324,"Andrew Garfield",1791729704,14,127980693
325,"Sean Connery",1785669565,18,99203865
326,"Vince Vaughn",1783502461,26,68596249
327,"Milla Jovovich",1780000606,23,77391331
328,"John Oliver",1776557728,2,888278864
329,"Jodie Foster",1763561901,28,62984354
330,"Elizabeth Banks",1760825402,25,70433016
331,"Huang Bo",1758004306,13,135231100
332,"Maya Hawke",1753397547,6,292232925
333,"Ben Whishaw",1745139845,15,116342656
334,"Paul Walter Hauser",1743910941,8,217988868
335,"Christoph Waltz",1742814805,15,116187654
336,"Alfre Woodard",1742095493,11,158372318
337,"Anna Kendrick",1736341654,29,59873850
338,"Katherine Waterston",1736021674,10,173602167
339,"Glenn Close",1734084419,27,64225349
340,"Cedric the Entertainer",1727104166,16,107944010
341,"Adele Exarchopoulos",1726103584,7,246586226
342,"Julianne Moore",1724096311,46,37480355
343,"Ayo Edebiri",1718534668,6,286422445
344,"Tom McGrath",1713544576,3,571181525
345,"James Franco",1712526121,44,38921048
346,"Catherine O'Hara",1711595796,8,213949475
347,"Alexandra Shipp",1702296279,8,212787035
348,"James Marsden",1698326351,21,80872683
349,"Dakota Johnson",1697373923,22,77153360
350,"Elizabeth Debicki",1668789634,7,238398519
351,"Mindy Kaling",1666912645,4,416728161
352,"JD McCrary",1661454403,1,1661454403
353,"Shahadi Wright Joseph",1661454403,1,1661454403
354,"Kelly Marie Tran",1655783807,5,331156761
355,"Jai Courtney",1651766686,9,183529632
356,"Guy Pearce",1649493849,34,48514525
357,"Djimon Hounsou",1646418305,14,117601308
358,"Gemma Chan",1635622742,4,408905686
359,"Meg Ryan",1630110308,27,60374456
360,"Kingsley Ben-Adir",1621084612,2,810542306
361,"Jay Ellis",1610214789,5,322042958
362,"Joe Pesci",1602094185,8,200261773
363,"Stanley Tucci",1595890891,15,106392726
364,"Dylan O’Brien",1595838443,14,113988460
365,"Sigourney Weaver",1592257206,39,40827108
366,"Emma Mackey",1579672912,8,197459114
367,"Helen Mirren",1577139112,29,54384107
368,"Ron Perlman",1573353452,28,56191195
369,"Tom Wilkinson",1567655086,14,111975363
370,"Hannah John-Kamen",1558382451,6,259730409
371,"Georgie Henley",1556074680,5,311214936
372,"Skandar Keynes",1556067810,3,518689270
373,"Jamie Dornan",1553845122,13,119526548
374,"Sam Rockwell",1541684394,30,51389480
375,"Dua Lipa",1540495651,2,770247826
376,"Chloë Grace Moretz",1539374226,27,57013860
