"","title","release_date","us_distributor","video_id","Unnamed..0","year"
"560","Madame Web","2024-02-14","Sony","s_76M4c4LTo",36,2024
"561","Holdovers, The","2024-02-14","Focus Features","AhKLpJmHhIg",37,2024
"562","Iron Claw, The","2024-02-22","A24","8KVsaoveTbw",39,2024
"563","Dune: Part Two","2024-02-29","Warner Bros.","Way9Dexny3w",41,2024
"564","Imaginary","2024-03-07","Lionsgate","8XoNfrgrAGM",42,2024
"565","Priscilla","2024-03-07","A24","DBWk6BohVXk",43,2024
"566","No Way Up","2024-03-07","IFC Films","PSEoAaSswgo",44,2024
"567","Kung Fu Panda 4","2024-03-14","Universal","_inKs4eeHiI",45,2024
"568","Ghostbusters: Frozen Empire","2024-03-21","Sony","HpOBXh02rVc",47,2024
"569","Arthur the King","2024-03-21","Lionsgate","wjDJNEPghNY",48,2024
"570","Bricklayer, The","2024-03-21","Vertical Entertainment","ayPesvG86gE",49,2024
"571","Godzilla x Kong: The New Empire","2024-03-28","Warner Bros.","lV1OOlGwExM",4,2024
"572","Immaculate","2024-03-28","Neon Rated","ewxS9Z-XXYo",5,2024
"573","Ordinary Angels","2024-03-28","Lionsgate","R1vn8kPgCYA",6,2024
"574","First Omen, The","2024-04-04","20th Century Studios","lmN1Op8ygno",11,2024
"575","Monkey Man","2024-04-04","Universal","g8zxiB5Qhsc",12,2024
"576","Miller's Girl","2024-04-04","Lionsgate Premiere Releasing","vk2OJZHutBM",13,2024
"577","Sleeping Dogs","2024-04-11","Variance Films","9AFIutyHvKs",14,2024
"578","Civil War","2024-04-18","A24","aDyQxtg0V2w",16,2024
"579","Cabrini","2024-04-18","Angel Studios","02S9IcBPefw",17,2024
"580","Inventor, The","2024-04-18","Blue Fox Entertainment","Ez1NHnJrk2Y",18,2024
"581","Sympathy for the Devil","2024-04-18","IFC Films","ap8IKdWWHWw",19,2024
"582","Challengers","2024-04-25","Amazon MGM Studios","VobTTbg-te0",23,2024
"583","Fall Guy, The","2024-05-01","Universal","j7jPnwVGdZ8",27,2024
"584","Tarot","2024-05-01","Sony","bvDArsKoTOE",28,2024
"585","Mothers' Instinct","2024-05-01","Neon Rated","4ltU9ooQ8x0",29,2024
"586","Soft & Quiet","2024-05-01","Momentum Pictures","9caXYrlADa0",30,2024
"587","Kingdom of the Planet of the Apes","2024-05-09","20th Century Studios","XtFI7SNtVpY",33,2024
"588","Abigail","2024-05-09","Universal","3PsP8MFH8p0",34,2024
"589","IF (2024)","2024-05-16","Paramount","mb2187ZQtBE",36,2024
